Date,prediction,actual,FE
2018-05-03,19.129199981689453,18.96333312988281,-0.008746714022824805
2018-05-04,19.71456527709961,19.606000900268555,-0.005537303470671963
2018-05-07,20.474788665771484,20.184667587280277,-0.01437333942888573
2018-05-08,20.542722702026367,20.131332397460938,-0.02043532422212234
2018-05-09,20.724397659301758,20.456666946411133,-0.013087699652733263
2018-05-10,20.787275314331055,20.334667205810547,-0.022257955044928245
2018-05-11,20.46200180053711,20.070667266845703,-0.019497833753531615
2018-05-14,19.91405487060547,19.46466636657715,-0.02308739824074082
2018-05-15,19.238943099975586,18.94533348083496,-0.015497727682526125
2018-05-16,19.38713836669922,19.09866714477539,-0.015104259356797156
2018-05-17,19.36630630493164,18.96933364868164,-0.020927074382372384
2018-05-18,18.777027130126953,18.454666137695312,-0.01746772279847368
2018-05-21,19.33014678955078,18.965999603271484,-0.01919999967818645
2018-05-22,16.40755271911621,18.333999633789062,0.10507510380454368
2018-05-23,16.279979705810547,18.60466766357422,0.12495186690784814
2018-05-24,18.785160064697266,18.523332595825195,-0.014135008779742001
2018-05-25,18.836017608642578,18.59000015258789,-0.013233859819008108
2018-05-29,19.132076263427734,18.917333602905277,-0.011351634698109767
2018-05-30,19.657148361206055,19.447999954223636,-0.010754237323874342
2018-05-31,19.35028648376465,18.98200035095215,-0.01940186102641319
2018-06-01,19.67595100402832,19.454666137695312,-0.01137438518691651
2018-06-04,20.15570068359375,19.78266716003418,-0.01885658392480005
2018-06-05,19.73619270324707,19.408666610717773,-0.01687524955209606
2018-06-06,21.25110626220703,21.299999237060547,0.0022954449110235264
2018-06-07,21.588420867919922,21.07266616821289,-0.02447505671992387
2018-06-08,21.689807891845703,21.17733383178711,-0.02419917748519277
2018-06-11,22.4080753326416,22.13999938964844,-0.012108218174500016
2018-06-12,23.245962142944336,22.851333618164062,-0.017269387046478162
2018-06-13,23.28388023376465,22.985332489013672,-0.012988619803245127
2018-06-14,23.94320297241211,23.847999572753903,-0.003992091637194408
2018-06-15,23.996902465820312,23.87800025939941,-0.0049795713681717105
2018-06-18,24.557334899902344,24.722000122070312,0.0066606755664953485
2018-06-19,23.611278533935547,23.503332138061523,-0.004592812425060955
2018-06-20,24.12044334411621,24.14800071716309,0.0011411865259425915
2018-06-21,23.576793670654297,23.167333602905277,-0.01767402648778157
2018-06-22,22.589096069335938,22.242000579833984,-0.015605407807454695
2018-06-25,22.461441040039062,22.200666427612305,-0.011746251549566851
2018-06-26,22.729248046875,22.799999237060547,0.0031031224803965544
2018-06-27,23.25446319580078,22.96666717529297,-0.01253103109437738
2018-06-28,23.634727478027344,23.32866668701172,-0.01311951493507449
2018-06-29,23.205780029296875,22.86333274841309,-0.014978012376938103
2018-07-02,22.624340057373047,22.33799934387207,-0.012818547851713843
2018-07-03,21.1722412109375,20.724000930786133,-0.02162904169172723
2018-07-05,20.630786895751953,20.61066627502441,-0.0009762236920950187
2018-07-06,20.878170013427734,20.59333229064941,-0.013831550851420828
2018-07-09,21.41834831237793,21.233999252319336,-0.008681787065545732
